AGE,LogOdds,Odds,HR
0,-1.826393962,0.160993069,0.006439723
1,-1.792999425,0.166460135,0.006658405
2,-1.752932647,0.173265072,0.006930603
3,-1.719532554,0.179149871,0.007165995
4,-1.692799147,0.184003749,0.00736015
5,-1.646065684,0.192806982,0.007712279
6,-1.612665591,0.199355505,0.00797422
7,-1.572598813,0.207505214,0.008300209
11,-1.438998442,0.237165175,0.009486607
20,-1.118391996,0.326804876,0.013072195
30,-0.757729883,0.468729291,0.018749172
40,-0.403728899,0.667825145,0.026713006
50,-0.036400101,0.964254417,0.038570177
60,0.297595271,1.346616663,0.053864667
75, 0.8252689590804416,2.28249458,0.091299783
,,,
interceptCFR,,0.04,
